countryID,CountryNameMap,CountryNameMN,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
364,Iran Islamic Republic of,Iran,60,99,87,65,55,75,68,36,82,93,60,58,71,98,90,80,76,82,63,109,132
368,Iraq,Iraq,144,68,40,18,44,54,22,30,68,69,39,9,14,23,21,25,18,13,1,6,1
372,Ireland,Ireland,19,12,9,8,15,18,7,4,18,9,12,17,8,11,10,29,89,64,39,17,41
376,Israel,Israel,36,20,34,22,35,34,27,18,31,21,15,10,14,18,17,15,15,18,27,27,25
380,Italy,Italy,17,13,19,26,14,24,11,17,22,16,13,16,13,11,13,14,16,21,15,10,8
388,Jamaica,Jamaica,48,40,51,48,39,44,27,17,34,38,31,16,34,32,27,27,20,27,17,23,30
392,Japan,Japan,51,68,49,60,65,88,68,43,59,64,66,56,43,36,50,50,60,53,41,43,42
400,Jordan,Jordan,27,40,28,20,36,38,46,42,40,43,44,27,23,47,38,27,28,31,38,36,16
398,Kazakhstan,Kazakhstan,18,25,30,28,44,52,40,32,59,46,27,8,,,,,,,,,
404,Kenya,Kenya,792,1159,610,530,657,502,488,266,285,191,200,91,159,100,88,83,40,37,22,29,21
410,Korea Republic of,Korea South,163,143,261,156,175,234,199,157,196,204,219,169,179,180,184,175,243,237,230,260,351
-2,Kosovo,Kosovo,D,,,,,,,,,,,,,,,,,,,,
414,Kuwait,Kuwait,17,0,11,4,9,15,14,9,12,8,14,16,11,15,21,5,15,12,14,8,9
417,Kyrgyzstan,Kyrgyzstan,12,143,10,10,24,15,5,14,19,13,12,5,,,,,,,,,
418,Lao People's Democratic Republic,Laos,219,7,522,630,708,141,148,67,160,196,190,172,237,452,833,856,815,747,955,1235,1298
428,Latvia,Latvia,12,22,12,5,16,22,18,9,22,18,17,8,4,6,18,11,15,16,12,0,0
422,Lebanon,Lebanon,33,324,29,37,31,41,30,28,31,27,33,36,18,38,20,32,23,21,24,34,23
426,Lesotho,Lesotho,0,D,0,0,0,0,0,0,0,,1,0,2,,,,,,,,
430,Liberia,Liberia,693,1013,1025,542,728,713,468,287,388,307,194,128,148,155,195,156,123,55,48,65,78
434,Libya,Libya,8,D,4,D,9,3,3,D,5,5,0,2,1,,,,,,,,
440,Lithuania,Lithuania,10,13,4,9,18,32,34,19,16,20,12,17,6,,,,,,,,
442,Luxembourg,Luxembourg,0,0,0,0,0,0,0,D,0,0,1,,,,,,,,,,
446,Macao,Macau,D,0,D,D,D,0,D,3,4,6,1,1,5,,,,,,,,
807,Macedonia the former Yugoslav Republic of,Macedonia,D,3,0,0,5,D,D,3,9,0,1,1,,,,,,,,,
450,Madagascar,Madagascar,4,D,7,0,3,0,0,D,,3,2,1,1,,,,,,,,
454,Malawi,Malawi,D,0,0,0,D,3,D,D,,0,2,2,1,,,,,,,,
458,Malaysia,Malaysia,29,22,31,27,16,61,26,14,41,38,23,17,19,12,19,19,18,10,26,33,18
466,Mali,Mali,D,4,3,0,5,D,D,D,3,1,1,,,,,,,,,,
470,Malta,Malta,4,D,0,0,D,4,D,0,3,,0,,1,,,,,,,,
584,Marshall Islands,Marshall Islands,D,D,0,0,D,0,0,D,1,,,,,,,,,,,,
478,Mauritania,Mauritania,0,0,3,D,3,4,D,0,3,,3,,,,,,,,,,
480,Mauritius,Mauritius,D,0,0,0,0,0,D,D,3,4,,,,,,,,,,,
484,Mexico,Mexico,652,869,857,668,746,696,692,398,756,772,591,449,536,516,496,348,207,192,195,780,357
498,Moldova Republic of,Moldova,32,92,53,42,191,174,57,61,110,96,34,35,14,32,36,29,37,30,31,0,0
496,Mongolia,Mongolia,D,3,8,7,4,D,0,D,2,2,0,1,,,,,,,,,
504,Morocco,Morocco,47,60,38,58,48,43,45,29,44,70,28,27,30,20,22,12,11,14,13,18,11
508,Mozambique,Mozambique,D,D,0,0,0,0,D,0,2,1,,,,,,,,,,,
516,Namibia,Namibia,0,0,D,3,D,0,0,D,0,4,1,,4,,,,,,,,
524,Nepal,Nepal,98,65,62,54,67,75,59,41,22,16,24,6,25,,,,,,,,
528,Netherlands,Netherlands,21,19,12,14,32,28,14,12,18,24,29,13,14,8,20,15,17,18,17,16,26
554,New Zealand,New Zealand,8,3,9,19,12,17,D,5,14,16,16,7,7,,,,,,,,
558,Nicaragua,Nicaragua,12,13,15,18,22,20,24,12,36,48,48,25,10,21,22,9,10,8,14,7,12
562,Niger,Niger,D,D,0,D,D,0,D,17,19,31,3,1,12,,,,,,,,
566,Nigeria,Nigeria,300,329,273,288,294,291,215,203,262,231,160,143,172,112,149,137,44,57,67,107,99
578,Norway,Norway,7,3,11,D,7,8,12,10,10,17,16,8,10,13,11,19,13,19,10,16,18
512,Oman,Oman,D,D,0,4,0,D,0,4,0,1,,,,,,,,,,,
,,Unknown,7,21,13,12,32,42,55,10,24,17,25,26,83,48,,,,,,,
586,Pakistan,Pakistan,126,146,151,101,83,112,118,61,131,111,96,60,68,47,53,53,31,50,41,41,41
591,Panama,Panama,14,10,7,11,14,16,D,5,7,13,18,6,6,,,,,,,,
598,Papua New Guinea,Papua New Guinea,0,0,0,0,D,0,D,0,1,,,,,,,,,,,,
600,Paraguay,Paraguay,0,0,D,5,D,3,D,D,1,2,1,1,1,4,21,29,37,41,6,18,67
604,Peru,Peru,64,68,52,78,92,65,28,29,39,47,41,19,26,29,21,39,39,25,35,87,36
608,Philippines,Philippines,320,383,319,564,534,399,569,419,399,266,208,151,156,182,195,169,157,201,218,217,235
616,Poland,Poland,22,35,35,23,48,72,33,48,55,39,38,31,24,34,29,27,49,77,57,67,36
620,Portugal,Portugal,3,4,D,D,D,3,D,3,,3,2,2,1,,,,,,,,
634,Qatar,Qatar,D,D,3,D,D,5,D,4,4,,2,,,,,,,,,,
642,Romania,Romania,28,30,42,40,64,47,56,27,62,77,82,66,29,59,57,62,34,34,43,166,32
643,Russian Federation,Russia,97,180,226,138,333,515,302,328,496,474,441,282,300,334,342,278,277,243,141,0,0
646,Rwanda,Rwanda,4,D,5,8,18,D,7,D,7,3,1,1,3,,,,,,,,
882,Samoa,Samoa,D,0,D,0,D,D,0,0,0,1,0,1,1,,,,,,,,
682,Saudi Arabia,Saudi Arabia,18,27,22,27,35,32,9,14,23,19,15,18,4,15,20,9,9,6,4,3,0
686,Senegal,Senegal,13,10,6,4,15,11,12,4,3,5,12,2,1,,,,,,,,
688,Serbia,Serbia and Montenegro,14,14,18,16,41,36,34,15,,,,,,,,,,,,,
694,Sierra Leone,Sierra Leone,36,45,70,44,92,89,69,58,39,24,22,22,13,29,23,7,9,12,7,8,11
702,Singapore,Singapore,8,9,12,21,13,25,8,9,16,10,12,2,5,,,,,,,,
703,Slovakia,Slovak Republic/Slovakia,7,7,11,12,12,5,18,16,9,12,9,5,,,,,,,,,
705,Slovenia,Slovenia,D,0,0,D,0,D,0,0,1,1,1,1,,,,,,,,,
90,Solomon Islands,Solomon Islands,0,0,0,4,D,0,0,0,0,,2,,,,,,,,,,
706,Somalia,Somalia,1188,4173,3372,1801,2844,2223,1445,786,1588,783,604,405,582,1008,439,528,170,31,6,7,3
710,South Africa,South Africa,43,51,28,34,38,52,66,52,103,77,27,23,18,20,40,40,16,19,28,10,13
643,Russian Federation,Soviet Union former,57,87,55,60,93,86,18,10,40,35,30,27,651,780,302,800,762,942,436,713,282
724,Spain,Spain,9,8,7,13,9,22,18,9,14,14,20,12,14,7,14,8,10,18,16,10,13
144,Sri Lanka,Sri Lanka,18,22,15,32,22,37,25,16,46,13,24,14,14,6,19,18,22,20,37,19,12
729,Sudan,Sudan,78,154,150,92,162,178,93,90,158,111,70,46,39,153,148,112,16,16,21,9,10
740,Suriname,Suriname,0,D,D,D,4,3,0,D,3,,4,1,,,,,,,,,
748,Swaziland,Swaziland,D,D,0,0,0,0,0,0,1,,0,0,1,,,,,,,,
752,Sweden,Sweden,12,16,11,16,18,23,12,21,30,26,35,14,25,17,20,24,22,18,25,30,22
756,Switzerland,Switzerland,11,5,14,6,13,22,7,D,8,18,10,18,17,11,15,5,11,16,19,6,11
760,Syrian Arab Republic,Syria,19,23,24,19,19,17,12,7,24,12,7,7,6,7,12,23,11,13,6,11,8
158,Taiwan Province of China,Taiwan,40,33,64,38,34,74,42,31,70,50,42,27,43,21,74,56,59,90,94,61,50
762,Tajikistan,Tajikistan,D,7,0,D,9,D,D,D,0,1,0,0,,,,,,,,,
834,Tanzania United Republic of,Tanzania,24,24,19,40,14,38,25,23,21,12,19,9,14,7,9,17,18,12,6,11,8
764,Thailand,Thailand,354,532,651,1212,2102,180,82,81,140,146,157,124,208,395,700,670,514,387,381,474,522
768,Togo,Togo,102,140,139,134,102,97,135,61,74,36,39,13,13,,,,,,,,
776,Tonga,Tonga,0,D,D,D,D,3,0,0,0,,1,,,,,,,,,,
780,Trinidad and Tobago,Trinidad & Tobago,18,16,16,17,20,17,19,18,17,24,37,16,12,13,21,22,13,9,17,15,12
788,Tunisia,Tunisia,9,3,9,5,5,10,6,7,7,8,7,3,4,,,,,,,,
792,Turkey,Turkey,23,30,36,22,35,32,23,23,22,23,24,17,20,12,33,17,15,19,11,11,13
795,Turkmenistan,Turkmenistan,D,0,D,D,0,D,D,D,2,,0,1,,,,,,,,,
800,Uganda,Uganda,24,39,42,31,37,36,29,9,18,16,19,7,22,17,8,13,3,10,6,7,16
804,Ukraine,Ukraine,134,164,137,164,269,280,200,164,325,340,292,158,119,154,244,226,191,252,135,0,0
784,United Arab Emirates,United Arab Emirates,23,10,12,21,16,12,18,12,16,11,7,14,2,,,,,,,,
826,United Kingdom,United Kingdom,100,178,125,146,127,218,170,90,214,168,158,94,125,83,146,166,167,199,181,106,124
858,Uruguay,Uruguay,5,7,7,7,5,12,6,4,1,6,1,1,2,,,,,,,,
860,Uzbekistan,Uzbekistan,32,14,15,17,9,27,15,6,15,2,10,8,,,,,,,,,
862,Venezuela Bolivarian Republic of,Venezuela,28,27,47,37,27,50,45,20,33,18,19,10,9,10,14,6,10,13,3,4,22
704,Viet Nam,Vietnam,482,512,604,557,632,583,503,364,601,637,536,359,328,684,820,853,806,812,1189,732,758
887,Yemen,Yemen,39,29,24,15,23,16,11,18,14,12,35,8,13,,,,,,,,
894,Zambia,Zambia,8,15,6,22,13,15,9,D,9,8,1,2,6,,,,,,,,
716,Zimbabwe,Zimbabwe,10,8,9,10,13,13,5,7,7,6,3,0,1,,,,,,,,
